source_taxon_name,interaction_type,target_taxon_name,latitude,longitude
Colletes seminitidus,visitsFlowersOf,Berberis,-40,-67
Colletes seminitidus,visitsFlowersOf,Berberis,-40,-67
Colletes seminitidus,visitsFlowersOf,Ribes magellanicum,-41,-71.5
Colletes seminitidus,visitsFlowersOf,Diplolepis diemii,-41,-71.5
Colletes seminitidus,visitsFlowersOf,Berberis,-41,-71.5
Colletes seminitidus,visitsFlowersOf,Berberis,-41,-71.5
Trichophthalma,visitsFlowersOf,Schinus patagonicus,-40,-67
Trichophthalma,visitsFlowersOf,Ribes magellanicum,-40,-67
Trichophthalma,visitsFlowersOf,Berberis,-40,-67
Trichophthalma,visitsFlowersOf,Berberis,-40,-67
Trichophthalma,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Trichophthalma,visitsFlowersOf,Ribes magellanicum,-41,-71.5
Trichophthalma,visitsFlowersOf,Berberis,-41,-71.5
Trichophthalma,visitsFlowersOf,Berberis,-41,-71.5
Bombus,visitsFlowersOf,Vicia nigricans,-40,-67
Bombus,visitsFlowersOf,Digitalis purpurea,-40,-67
Bombus,visitsFlowersOf,Alstroemeria aurea,-40,-67
Bombus,visitsFlowersOf,Vicia nigricans,-41,-71.5
Bombus,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Bombus,visitsFlowersOf,Digitalis purpurea,-41,-71.5
Ruizantheda,visitsFlowersOf,Schinus patagonicus,-40,-67
Ruizantheda,visitsFlowersOf,Rosa eglanteria,-40,-67
Ruizantheda,visitsFlowersOf,Digitalis purpurea,-40,-67
Ruizantheda,visitsFlowersOf,Berberis,-40,-67
Ruizantheda,visitsFlowersOf,Aristotelia chilensis,-40,-67
Ruizantheda,visitsFlowersOf,Alstroemeria aurea,-40,-67
Ruizantheda,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Ruizantheda,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Ruizantheda,visitsFlowersOf,Digitalis purpurea,-41,-71.5
Ruizantheda,visitsFlowersOf,Berberis,-41,-71.5
Ruizantheda,visitsFlowersOf,Aristotelia chilensis,-41,-71.5
Ruizantheda,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Allograpta,visitsFlowersOf,Rosa eglanteria,-40,-67
Allograpta,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Allograpta,visitsFlowersOf,Mutisia decurrens,-41,-71.5
Platycheirus,visitsFlowersOf,Rosa eglanteria,-40,-67
Platycheirus,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Platycheirus,visitsFlowersOf,Berberis,-41,-71.5
Ruizantheda,visitsFlowersOf,Rosa eglanteria,-40,-67
Ruizantheda,visitsFlowersOf,Alstroemeria aurea,-40,-67
Ruizantheda,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Ruizantheda,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Platycheirus,visitsFlowersOf,Schinus patagonicus,-40,-67
Platycheirus,visitsFlowersOf,Rosa eglanteria,-40,-67
Platycheirus,visitsFlowersOf,Berberis,-40,-67
