source_taxon_name,interaction_type,target_taxon_name,latitude,longitude
Engraulis anchoita,eats,cyclopoids,-10.7670068973,-53.0799115236
Engraulis anchoita,eats,invertebrates eggs,-10.7670068973,-53.0799115236
Sardinops sagax,eats,Cephalochordata,-9.17265367678,-74.3612001063
Sardinops sagax,eats,Decabrachia,-9.17265367678,-74.3612001063
Sardinops sagax,eats,Copepoda,-9.17265367678,-74.3612001063
Sardinops sagax,eats,plank. crustaceans,-9.17265367678,-74.3612001063
Sardinops sagax,eats,Phytoplankton,-9.17265367678,-74.3612001063
Sardinops sagax,eats,Actinopterygii,-9.17265367678,-74.3612001063
Sardinops sagax,eats,benth. crustaceans,-9.17265367678,-74.3612001063
Sardinops sagax,eats,Euphausiacea,-9.17265367678,-74.3612001063
Sardinops sagax,eats,Urochordata,-9.17265367678,-74.3612001063
Sardinops sagax,eats,plank. invertebrates,-9.17265367678,-74.3612001063
Sardinops sagax,eats,Zooplankton,-9.17265367678,-74.3612001063
Sardinops sagax,eats,Radiolaria,-9.17265367678,-74.3612001063
Sardinops sagax,eats,Pyrrophycophyta,-9.17265367678,-74.3612001063
Larosterna inca,eats,Engraulis,-9.17265367678,-74.3612001063
Sternula lorata,eats,"Shrimps, prawns",-9.17265367678,-74.3612001063
Sternula lorata,eats,Brachyura,-9.17265367678,-74.3612001063
Sternula lorata,eats,Clupea pallasii,-9.17265367678,-74.3612001063
Sternula lorata,eats,Kondakovia longimana,-9.17265367678,-74.3612001063
Sternula lorata,eats,Solea,-9.17265367678,-74.3612001063
Sternula lorata,eats,Reinhardtius hippoglossoides,-9.17265367678,-74.3612001063
Sternula lorata,eats,Pleuronectidae,-9.17265367678,-74.3612001063
Sternula lorata,eats,Exocoetidae,-9.17265367678,-74.3612001063
Sternula lorata,eats,Engraulis,-9.17265367678,-74.3612001063
Sternula lorata,eats,Engraulis mordax,-9.17265367678,-74.3612001063
Sternula lorata,eats,Engraulis japonicus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Engraulis encrasicolus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Engraulis capensis,-9.17265367678,-74.3612001063
Sternula lorata,eats,Engraulis australis,-9.17265367678,-74.3612001063
Sternula lorata,eats,Engraulis anchoita,-9.17265367678,-74.3612001063
Sternula lorata,eats,Sprattus sprattus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Sardinops sagax,-9.17265367678,-74.3612001063
Sternula lorata,eats,Sardina pilchardus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Etrumeus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Etrumeus teres,-9.17265367678,-74.3612001063
Sternula lorata,eats,Clupea harengus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Trachurus trachurus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Trachurus symmetricus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Trachurus mediterraneus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Trachurus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Decapterus,-9.17265367678,-74.3612001063
Sternula lorata,eats,Atherinidae,-9.17265367678,-74.3612001063
Sternula lorata,eats,Teuthida,-9.17265367678,-74.3612001063
Sternula lorata,eats,Illex,-9.17265367678,-74.3612001063
Sternula lorata,eats,Loligo,-9.17265367678,-74.3612001063
Trachurus symmetricus,eats,Euphausiacea,-9.17265367678,-74.3612001063
Trachurus symmetricus,eats,Stomatopoda,-9.17265367678,-74.3612001063
Trachurus symmetricus,eats,Aciculata,-9.17265367678,-74.3612001063
Trachurus symmetricus,eats,Mollusca,-9.17265367678,-74.3612001063
Trachurus symmetricus,eats,benth. crustaceans,-9.17265367678,-74.3612001063
Trachurus symmetricus,eats,Decapoda,-9.17265367678,-74.3612001063
Trachurus symmetricus,eats,Osteichthyes,-9.17265367678,-74.3612001063
Trachurus symmetricus,eats,Copepoda,-9.17265367678,-74.3612001063
Trachurus symmetricus,eats,Decabrachia,-9.17265367678,-74.3612001063
Trachurus symmetricus,eats,Chaetognatha,-9.17265367678,-74.3612001063
